LANGUAGE, English
STRS_inv_sellitems_nolicense,You need a %1 to sell this.
STRS_inv_sellitems_nolicensecop,You need a %1 to sell this.
STRS_hints_vehicle_information,VEHICLE INFORMATION:\n\nName: %4\nType: %1\ndirection: %2\nHeight ASL: %3m\nDriver: %5\nFree Cargo: %6
STRS_functions_crimelog_msg12,Speeding
STRS_southChernarus_area,You do not have jurisdiction in this area. Turn around!
STRS_verbotene_zone_teleport,You entered a prohibited area and have been teleported back to your respawn area.
STRS_arbeiter_in_copbase,One of your prostitutes was too close to the Police base
STRS_prostitute_zuviele,You cannot buy any more Prostitutes!!
STRS_prostitute_nomoney,You cannot afford a prostitute. You need at least 25K or %1 skulls
STRS_prostitute_moneyaction,Take your money from this hoe
STRS_prostitute_tot,One of your hoes has died! Protect them in future!
STRS_prostitute_cashabnahme_ja,This prostitute has earned you $%1.
STRS_prostitute_cashabnahme_nein,This prostitute has no money!! Useless!
STRS_addaction_buy_shop,Buy %1 for $%2
STRS_addaction_trunk,Trunk
STRS_addaction_vehicleinfo,Vehicle information
STRS_addaction_trunk_see,View Trunk
STRS_addaction_trunk_check,Search Vehicle
STRS_camciv_nomoney,Civ cam has been removed.
STRS_civcam_notwanted,You are watching %1. He is not wanted.
STRS_civcam_wanted,You are watching %1. He is wanted.
STRS_deadcam_deadwait_civ,You have now died %1 time(s) and suicided %5 time(s) and have to wait %2 seconds to respawn. You must also wait an additional %4 seconds to respawn (for any players you killed in this life and any suicides).
STRS_deadcam_deadwait_cop,"As a cop you have to wait 15 seconds to respawn, plus an additional 30 seconds for any players you kill.\nYour respawn time this round is %1 seconds.\nTo avoid a high respawn time, shock or arrest civilians instead of killing them. "
STRS_civmenu_stehlen_copzunah,You cannot steal anything as a cop is near.
STRS_civmenu_stehlen,You are stealing money from that player! Please wait five seconds to get the money.
STRS_civmenu_distance,You are either too far away from the Civ or he is dead
STRS_civmenu_hasnodrugs,The civ does not have any drugs.
STRS_civmenu_hasdrugs,"%1 had drugs, you removed them. You should jail %1 for %2 minutes or give him a ticket of $%3. "
STRS_civmenu_disarm,You disarmed %1!.
STRS_civmenu_arrested,Arresting %1...
STRS_civmenu_didpayticket,%1 paid the ticket of $%2.
STRS_civmenu_didpaynothing,%1 chose not to pay the ticket.
STRS_civmenu_ticket_globalchat,%3 gave a ticket of $%2 to %1
STRS_civmenu_didnotpayticket,%1 did not have enough money to pay the ticket of $%2
STRS_civmenu_youdidnotpay,You did not pay the ticket.
STRS_civmenu_copnotarmed,You are not armed. You need a weapon for this action.
STRS_civmenu_heal,You healed %1.
STRS_inventory_checknohands,The Civ does not have his hands up and is not stunned!
STRS_civmenucheck_beendisarmed,You have been disarmed.
STRS_civmenucheck_beendrugsearched,Your drugs have been removed.
STRS_civmenucheck_ticketself,You paid a ticket of $%1.
STRS_civmenucheck_haddrugs,%1 had $%2 worth of drugs!
STRS_civmenucheck_arrested_self,You have been arrested for %1 Minutes. After that you will be teleported out. You can board a chopper to escape.
STRS_civmenucheck_arrested_global,%1 was arrested by %2 for %3 minute(s).
STRS_civmenucheck_free_global,%1 is free again.
STRS_civmenucheck_free_self,You are free now. Don't do anything wrong or you will be arrested again.
STRS_civmenucheck_breakout,%1 has escaped from jail!
